"Номер объявления","Регион размещения","Город","Адрес","Категория","Подкатегория","Параметр","Название объявления","Цена","Дата первой публикации","Дата снятия с публикации","Дней на Авито","Показы","Конверсия из показов в просмотры","Просмотры","Средняя цена просмотра","Конверсия из просмотров в контакты","Целевые просмотры","Контакты","Написали в чат","Посмотрели телефон","Посмотрели телефон и написали в чат","Откликнулись на скидку в чате","Средняя цена контакта","Добавили в избранное","Расходы на объявления","Списано бонусов на объявления","Расходы на размещение и целевые действия","Расходы на продвижение","Остальные расходы"
"7896483501","Свердловская область","Екатеринбург","Екатеринбург","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","188","5.85%","11","151.37","9.09%","11","1","1","0","0","0","1665.07","2","1665.07","0.00","1665.07","0.00","0.00"
"7896886983","Воронежская область","Воронеж","Воронеж","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","74","13.51%","10","83.50","0.00%","10","0","0","0","0","0","","0","835.02","0.00","835.02","0.00","0.00"
"7896032080","Омская область","Омск","Омск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","90","7.77%","7","85.32","0.00%","7","0","0","0","0","0","","1","597.25","0.00","597.25","0.00","0.00"
"7895980922","Тюменская область","Тюмень","Тюмень","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","75","8.00%","6","49.10","0.00%","6","0","0","0","0","0","","0","294.64","0.00","294.64","0.00","0.00"
"7896343728","Тверская область","Тверь","Тверь","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","88","6.81%","6","21.49","0.00%","6","0","0","0","0","0","","0","128.95","0.00","128.95","0.00","0.00"
"7896482492","Ивановская область","Иваново","Иваново","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","64","9.37%","6","49.82","0.00%","6","0","0","0","0","0","","0","298.95","0.00","298.95","0.00","0.00"
"7896821125","Рязанская область","Рязань","Рязань","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","74","8.10%","6","38.16","0.00%","6","0","0","0","0","0","","2","229.00","0.00","229.00","0.00","0.00"
"7896216769","Башкортостан","Стерлитамак","Стерлитамак","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","52","9.61%","5","18.50","0.00%","5","0","0","0","0","0","","0","92.50","0.00","92.50","0.00","0.00"
"7896397525","Нижегородская область","Нижний Новгород","Нижний Новгород","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","90","5.55%","5","72.73","0.00%","5","0","0","0","0","0","","1","363.65","0.00","363.65","0.00","0.00"
"7896756861","Чувашия","Чебоксары","Чебоксары","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","89","5.61%","5","54.80","0.00%","5","0","0","0","0","0","","1","274.00","0.00","274.00","0.00","0.00"
"7896018858","Калужская область","Калуга","Калуга","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","55","7.27%","4","59.07","0.00%","4","0","0","0","0","0","","0","236.30","0.00","236.30","0.00","0.00"
"7896067181","Все регионы","Санкт-Петербург","Санкт-Петербург","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор по математике Подготовка к ЕГЭ/ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","48","8.33%","4","187.50","0.00%","4","0","0","0","0","0","","0","750.00","0.00","750.00","0.00","0.00"
"7896396315","Крым","Севастополь","Севастополь","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","59","6.77%","4","46.95","0.00%","4","0","0","0","0","0","","0","187.80","0.00","187.80","0.00","0.00"
"7896524699","Амурская область","Благовещенск","Благовещенск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","42","9.52%","4","14.10","0.00%","4","0","0","0","0","0","","0","56.40","0.00","56.40","0.00","0.00"
"7896595050","Ростовская область","Ростов-на-Дону","Ростов-на-Дону","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","75","5.33%","4","83.56","0.00%","4","0","0","0","0","0","","1","334.25","0.00","334.25","0.00","0.00"
"7896754081","Ставропольский край","Ставрополь","Ставрополь","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","95","4.21%","4","50.36","0.00%","4","0","0","0","0","0","","0","201.45","0.00","201.45","0.00","0.00"
"7896917808","Ульяновская область","Ульяновск","Ульяновск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","79","5.06%","4","18.50","0.00%","4","0","0","0","0","0","","2","74.00","0.00","74.00","0.00","0.00"
"7895943433","Челябинская область","Челябинск","Челябинск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","258","1.16%","3","182.71","33.33%","3","1","1","0","0","0","548.15","0","548.15","0.00","548.15","0.00","0.00"
"7896028392","Пензенская область","Пенза","Пенза","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","79","3.79%","3","18.50","0.00%","3","0","0","0","0","0","","0","55.50","0.00","55.50","0.00","0.00"
"7896098194","Вологодская область","Вологда","Вологда","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","38","7.89%","3","14.10","0.00%","3","0","0","0","0","0","","0","42.30","0.00","42.30","0.00","0.00"
"7896183312","Калининградская область","Калининград","Калининград","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","61","4.91%","3","82.06","0.00%","3","0","0","0","0","0","","0","246.20","0.00","246.20","0.00","0.00"
"7896260192","Все регионы","Санкт-Петербург","Санкт-Петербург","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор по русскому языку Подготовка к ЕГЭ/ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","71","4.22%","3","166.58","0.00%","3","0","0","0","0","0","","1","499.76","0.00","499.76","0.00","0.00"
"7896355001","Московская область","Балашиха","Балашиха","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","42","7.14%","3","88.50","0.00%","3","0","0","0","0","0","","0","265.50","0.00","265.50","0.00","0.00"
"7896369362","Ханты-Мансийский АО","Сургут","Сургут","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","47","6.38%","3","28.40","0.00%","3","0","0","0","0","0","","0","85.20","0.00","85.20","0.00","0.00"
"7896697897","Татарстан","Набережные Челны","Набережные Челны","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","32","9.37%","3","189.83","0.00%","3","0","0","0","0","0","","0","569.50","0.00","569.50","0.00","0.00"
"7896816503","Ханты-Мансийский АО","Нижневартовск","Нижневартовск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","26","11.53%","3","17.60","0.00%","3","0","0","0","0","0","","0","52.80","0.00","52.80","0.00","0.00"
"7928011254","Ярославская область","Ярославль","Ярославль","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор по информатике ЕГЭ/ОГЭ","от 1 200 ₽ за услугу","2026-03-02","2026-04-01","2","164","1.82%","3","145.00","0.00%","3","0","0","0","0","0","","0","435.00","0.00","435.00","0.00","0.00"
"7895932196","Бурятия","Улан-Удэ","Улан-Удэ","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","53","3.77%","2","14.10","0.00%","2","0","0","0","0","0","","0","28.20","0.00","28.20","0.00","0.00"
"7895933578","Кабардино-Балкария","Нальчик","Нальчик","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","38","5.26%","2","10.50","0.00%","2","0","0","0","0","0","","0","21.00","0.00","21.00","0.00","0.00"
"7895961167","Белгородская область","Старый Оскол","Старый Оскол","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","45","4.44%","2","9.90","0.00%","2","0","0","0","0","0","","0","19.80","0.00","19.80","0.00","0.00"
"7895965630","Краснодарский край","Новороссийск","Новороссийск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","36","5.55%","2","12.90","0.00%","2","0","0","0","0","0","","0","25.80","0.00","25.80","0.00","0.00"
"7896014693","Липецкая область","Липецк","Липецк","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","78","2.56%","2","84.70","0.00%","2","0","0","0","0","0","","0","169.40","0.00","169.40","0.00","0.00"
"7896064443","Крым","Симферополь","Симферополь","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","45","4.44%","2","8.60","0.00%","2","0","0","0","0","0","","0","17.20","0.00","17.20","0.00","0.00"
"7896084963","Все регионы","Москва","Москва","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор по математике Подготовка к ЕГЭ/ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","9","22.22%","2","31.70","0.00%","2","0","0","0","0","0","","0","63.40","0.00","63.40","0.00","0.00"
"7896105719","Саратовская область","Энгельс","Энгельс","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","42","4.76%","2","18.50","0.00%","2","0","0","0","0","0","","0","37.00","0.00","37.00","0.00","0.00"
"7896361368","Кемеровская область","Кемерово","Кемерово","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","40","5.00%","2","109.97","0.00%","2","0","0","0","0","0","","0","219.95","0.00","219.95","0.00","0.00"
"7896406920","Новгородская область","Великий Новгород","Великий Новгород","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","32","6.25%","2","14.10","0.00%","2","0","0","0","0","0","","1","28.20","0.00","28.20","0.00","0.00"
"7896426033","Новосибирская область","Новосибирск","Новосибирск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","102","1.96%","2","177.77","0.00%","2","0","0","0","0","0","","0","355.55","0.00","355.55","0.00","0.00"
"7896456722","Томская область","Томск","Томск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","36","5.55%","2","17.60","0.00%","2","0","0","0","0","0","","0","35.20","0.00","35.20","0.00","0.00"
"7896469152","Брянская область","Брянск","Брянск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","82","2.43%","2","84.70","0.00%","2","0","0","0","0","0","","0","169.40","0.00","169.40","0.00","0.00"
"7896475147","Саратовская область","Саратов","Саратов","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","62","3.22%","2","101.62","0.00%","2","0","0","0","0","0","","0","203.25","0.00","203.25","0.00","0.00"
"7896486093","Дагестан","Махачкала","Махачкала","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","60","3.33%","2","10.50","0.00%","2","0","0","0","0","0","","0","21.00","0.00","21.00","0.00","0.00"
"7896495084","Все регионы","Москва","Москва","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","42","4.76%","2","135.85","0.00%","2","0","0","0","0","0","","0","271.70","0.00","271.70","0.00","0.00"
"7896778433","Все регионы","Санкт-Петербург","Санкт-Петербург","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","42","4.76%","2","24.60","0.00%","2","0","0","0","0","0","","0","49.20","0.00","49.20","0.00","0.00"
"7896839519","Краснодарский край","Сочи","Сочи","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","40","5.00%","2","12.90","0.00%","2","0","0","0","0","0","","0","25.80","0.00","25.80","0.00","0.00"
"7896873278","Пермский край","Пермь","Пермь","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор по информатике ЕГЭ/ОГЭ","от 1 200 ₽ за услугу","2026-01-27","2026-03-31","36","40","5.00%","2","183.50","50.00%","2","1","1","0","0","0","367.00","1","367.00","0.00","367.00","0.00","0.00"
"7896893228","Забайкальский край","Чита","Чита","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","39","5.12%","2","14.10","0.00%","2","0","0","0","0","0","","1","28.20","0.00","28.20","0.00","0.00"
"7896905116","Иркутская область","Иркутск","Иркутск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","95","2.10%","2","33.80","0.00%","2","0","0","0","0","0","","0","67.60","0.00","67.60","0.00","0.00"
"7928654775","Челябинская область","Челябинск","Челябинск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор по информатике ЕГЭ/ОГЭ","от 1 200 ₽ за услугу","2026-03-02","2026-04-01","2","40","5.00%","2","145.00","0.00%","2","0","0","0","0","0","","0","290.00","0.00","290.00","0.00","0.00"
"7895945525","Нижегородская область","Дзержинск","Дзержинск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","34","2.94%","1","18.50","0.00%","1","0","0","0","0","0","","0","18.50","0.00","18.50","0.00","0.00"
"7896023084","Курганская область","Курган","Курган","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","21","4.76%","1","17.60","0.00%","1","0","0","0","0","0","","0","17.60","0.00","17.60","0.00","0.00"
"7896039021","Архангельская область","Архангельск","Архангельск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","26","3.84%","1","14.10","0.00%","1","0","0","0","0","0","","0","14.10","0.00","14.10","0.00","0.00"
"7896128489","Тульская область","Тула","Тула","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","81","1.23%","1","14.90","0.00%","1","0","0","0","0","0","","0","14.90","0.00","14.90","0.00","0.00"
"7896130368","Волгоградская область","Волгоград","Волгоград","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","66","1.51%","1","169.95","0.00%","1","0","0","0","0","0","","0","169.95","0.00","169.95","0.00","0.00"
"7896138339","Иркутская область","Братск","Братск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","31","3.22%","1","17.60","0.00%","1","0","0","0","0","0","","0","17.60","0.00","17.60","0.00","0.00"
"7896141870","Курская область","Курск","Курск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","55","1.81%","1","9.90","0.00%","1","0","0","0","0","0","","0","9.90","0.00","9.90","0.00","0.00"
"7896284719","Иркутская область","Ангарск","Ангарск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","27","3.70%","1","17.60","0.00%","1","0","0","0","0","0","","0","17.60","0.00","17.60","0.00","0.00"
"7896286820","Тамбовская область","Тамбов","Тамбов","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","39","2.56%","1","14.90","0.00%","1","0","0","0","0","0","","0","14.90","0.00","14.90","0.00","0.00"
"7896298352","Оренбургская область","Оренбург","Оренбург","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","50","2.00%","1","200.00","0.00%","1","0","0","0","0","0","","0","200.00","0.00","200.00","0.00","0.00"
"7896364667","Красноярский край","Красноярск","Красноярск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","65","1.53%","1","17.60","0.00%","1","0","0","0","0","0","","1","17.60","0.00","17.60","0.00","0.00"
"7896407789","Орловская область","Орёл","Орёл","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","37","2.70%","1","14.90","0.00%","1","0","0","0","0","0","","0","14.90","0.00","14.90","0.00","0.00"
"7896484913","Все регионы","Москва","Москва","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор по русскому языку Подготовка к ЕГЭ/ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","41","2.43%","1","31.70","0.00%","1","0","0","0","0","0","","0","31.70","0.00","31.70","0.00","0.00"
"7896517288","Московская область","Подольск","Подольск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","30","3.33%","1","24.60","0.00%","1","0","0","0","0","0","","0","24.60","0.00","24.60","0.00","0.00"
"7896550062","Краснодарский край","Краснодар","Краснодар","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","35","2.85%","1","169.95","0.00%","1","0","0","0","0","0","","1","169.95","0.00","169.95","0.00","0.00"
"7896575084","Ростовская область","Таганрог","Таганрог","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","39","2.56%","1","12.90","0.00%","1","0","0","0","0","0","","0","12.90","0.00","12.90","0.00","0.00"
"7896622508","Мурманская область","Мурманск","Мурманск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","34","2.94%","1","14.10","0.00%","1","0","0","0","0","0","","0","14.10","0.00","14.10","0.00","0.00"
"7896640207","Удмуртия","Ижевск","Ижевск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","57","1.75%","1","169.95","0.00%","1","0","0","0","0","0","","0","169.95","0.00","169.95","0.00","0.00"
"7896685166","Самарская область","Тольятти","Тольятти","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","67","1.49%","1","200.00","0.00%","1","0","0","0","0","0","","0","200.00","0.00","200.00","0.00","0.00"
"7928673872","Марий Эл","Йошкар-Ола","Йошкар-Ола","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор по информатике ЕГЭ/ОГЭ","от 1 200 ₽ за услугу","2026-03-02","2026-04-01","2","19","5.26%","1","145.00","0.00%","1","0","0","0","0","0","","0","145.00","0.00","145.00","0.00","0.00"
"7896002611","Костромская область","Кострома","Кострома","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","29","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896081390","Хабаровский край","Хабаровск","Хабаровск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","29","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
"7896124684","Приморский край","Владивосток","Владивосток","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","26","0.00%","0","","","0","0","0","0","0","0","","0","0.00","0.00","0.00","0.00","0.00"
