"Номер объявления","Регион размещения","Город","Адрес","Категория","Подкатегория","Параметр","Название объявления","Цена","Дата первой публикации","Дата снятия с публикации","Дней на Авито","Показы","Конверсия из показов в просмотры","Просмотры","Средняя цена просмотра","Конверсия из просмотров в контакты","Целевые просмотры","Контакты","Написали в чат","Посмотрели телефон","Посмотрели телефон и написали в чат","Откликнулись на скидку в чате","Средняя цена контакта","Добавили в избранное","Расходы на объявления","Списано бонусов на объявления","Расходы на размещение и целевые действия","Расходы на продвижение","Остальные расходы"
"7896924404","Все регионы","Москва","Москва","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор по информатике Подготовка к ЕГЭ/ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","380","13.68%","52","177.97","7.69%","51","4","4","0","0","0","2313.67","4","9254.70","0.00","9254.70","0.00","0.00"
"7896488211","Челябинская область","Магнитогорск","Магнитогорск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","348","10.91%","38","141.85","7.89%","38","3","0","2","1","0","1796.79","5","5390.38","0.00","5390.38","0.00","0.00"
"7896746725","Татарстан","Казань","Казань","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","489","7.15%","35","136.99","5.71%","34","2","2","0","0","0","2397.45","3","4794.91","0.00","4794.91","0.00","0.00"
"7896219544","Кировская область","Киров","Киров","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","457","7.22%","33","138.90","9.09%","32","3","1","2","0","0","1527.97","0","4583.91","0.00","4583.91","0.00","0.00"
"7896497086","Марий Эл","Йошкар-Ола","Йошкар-Ола","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","339","8.84%","30","152.34","13.33%","28","4","4","0","0","0","1142.60","1","4570.43","0.00","4570.43","0.00","0.00"
"7895976933","Ярославская область","Ярославль","Ярославль","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","340","7.35%","25","120.54","16.00%","25","4","3","0","1","0","753.42","0","3013.69","0.00","3013.69","0.00","0.00"
"7896404616","Пермский край","Пермь","Пермь","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","344","6.97%","24","142.54","20.83%","24","5","5","0","0","0","684.23","3","3421.18","0.00","3421.18","0.00","0.00"
"7896168160","Астраханская область","Астрахань","Астрахань","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","378","6.08%","23","119.28","4.34%","23","1","1","0","0","0","2743.62","1","2743.62","0.00","2743.62","0.00","0.00"
"7896517209","Северная Осетия","Владикавказ","Владикавказ","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","258","7.75%","20","159.93","10.00%","20","2","2","0","0","0","1599.30","2","3198.60","0.00","3198.60","0.00","0.00"
"7896919839","Владимирская область","Владимир","Владимир","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","207","7.24%","15","107.61","6.66%","14","1","1","0","0","0","1614.20","2","1614.20","0.00","1614.20","0.00","0.00"
"7896687122","Самарская область","Самара","Самара","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","260","5.38%","14","169.14","14.28%","14","2","2","0","0","0","1183.98","1","2367.96","0.00","2367.96","0.00","0.00"
"7895978049","Башкортостан","Уфа","Уфа","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","142","8.45%","12","131.84","16.66%","12","2","1","1","0","0","791.07","1","1582.15","0.00","1582.15","0.00","0.00"
