"Номер объявления","Регион размещения","Город","Адрес","Категория","Подкатегория","Параметр","Название объявления","Цена","Дата первой публикации","Дата снятия с публикации","Дней на Авито","Показы","Конверсия из показов в просмотры","Просмотры","Средняя цена просмотра","Конверсия из просмотров в контакты","Целевые просмотры","Контакты","Написали в чат","Посмотрели телефон","Посмотрели телефон и написали в чат","Откликнулись на скидку в чате","Средняя цена контакта","Добавили в избранное","Расходы на объявления","Списано бонусов на объявления","Расходы на размещение и целевые действия","Расходы на продвижение","Остальные расходы"
"7896816503","Ханты-Мансийский АО","Нижневартовск","Нижневартовск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","11","18.18%","2","17.60","0.00%","2","0","0","0","0","0","","0","35.20","0.00","35.20","0.00","0.00"
"7896821125","Рязанская область","Рязань","Рязань","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","17","11.76%","2","14.90","0.00%","2","0","0","0","0","0","","1","29.80","0.00","29.80","0.00","0.00"
"7928654775","Челябинская область","Челябинск","Челябинск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор по информатике ЕГЭ/ОГЭ","от 1 200 ₽ за услугу","2026-03-02","2026-04-01","2","40","5.00%","2","145.00","0.00%","2","0","0","0","0","0","","0","290.00","0.00","290.00","0.00","0.00"
"7895932196","Бурятия","Улан-Удэ","Улан-Удэ","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","5","20.00%","1","14.10","0.00%","1","0","0","0","0","0","","0","14.10","0.00","14.10","0.00","0.00"
"7895943433","Челябинская область","Челябинск","Челябинск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","106","0.94%","1","189.00","0.00%","1","0","0","0","0","0","","0","189.00","0.00","189.00","0.00","0.00"
"7895945525","Нижегородская область","Дзержинск","Дзержинск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","5","20.00%","1","18.50","0.00%","1","0","0","0","0","0","","0","18.50","0.00","18.50","0.00","0.00"
"7895961167","Белгородская область","Старый Оскол","Старый Оскол","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","16","6.25%","1","9.90","0.00%","1","0","0","0","0","0","","0","9.90","0.00","9.90","0.00","0.00"
"7895965630","Краснодарский край","Новороссийск","Новороссийск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","14","7.14%","1","12.90","0.00%","1","0","0","0","0","0","","0","12.90","0.00","12.90","0.00","0.00"
"7896028392","Пензенская область","Пенза","Пенза","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","11","9.09%","1","18.50","0.00%","1","0","0","0","0","0","","0","18.50","0.00","18.50","0.00","0.00"
"7896039021","Архангельская область","Архангельск","Архангельск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","10","10.00%","1","14.10","0.00%","1","0","0","0","0","0","","0","14.10","0.00","14.10","0.00","0.00"
"7896138339","Иркутская область","Братск","Братск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","16","6.25%","1","17.60","0.00%","1","0","0","0","0","0","","0","17.60","0.00","17.60","0.00","0.00"
"7896141870","Курская область","Курск","Курск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","9","11.11%","1","9.90","0.00%","1","0","0","0","0","0","","0","9.90","0.00","9.90","0.00","0.00"
